,Ámbito,Código área (ISO3),Área,Elemento,Producto,Año,Unidad,Valor,Nota
1670,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1671,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1672,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1673,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1674,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1675,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1676,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1677,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1678,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1679,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1680,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1681,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1682,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1683,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1684,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1685,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1686,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1687,Indicadores ODS,CHL,Chile,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1688,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1689,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1690,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2010,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1691,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1692,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1693,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1694,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1695,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1696,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1697,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1698,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1699,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2010,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1700,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1701,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1702,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1703,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1704,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1705,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (female)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1706,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1707,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1708,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2010,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1709,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1710,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1711,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1712,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1713,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1714,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of large-scale food producers, PPP (constant 2011 international $) (male)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1715,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1716,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1717,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2010,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1718,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1719,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1720,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1721,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1722,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1723,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1724,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1725,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1726,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2010,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1727,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1728,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1729,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1730,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1731,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1732,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (female)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1733,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1734,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1735,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2010,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1736,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2011,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1737,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2012,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1738,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2013,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1739,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2014,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1740,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2015,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1741,Indicadores ODS,CHL,Chile,Valor,"2.3.2 Average income of small-scale food producers, PPP (constant 2011 international $) (male)",2016,"dólares PPA, 2011",,Global | NaN = A figure was not provided
1742,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2010,Número,15846,Global | FAO-WIEWS (http://www.fao.org/wiews) | Estimate based on the acquisition date of each conserved accession as reported in 2014. | Estimated data
1743,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2012,Número,27145,Global | FAO-WIEWS (http://www.fao.org/wiews) | Estimate based on the acquisition date of each conserved accession as reported in 2014. | Estimated data
1744,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2014,Número,33488,Global | FAO-WIEWS (http://www.fao.org/wiews) | Country data
1745,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2016,Número,33888,Global | FAO-WIEWS (http://www.fao.org/wiews) | Estimate based on the acquisition date of each conserved accession as reported in 2018. | Estimated data
1746,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2017,Número,33888,Global | FAO-WIEWS (http://www.fao.org/wiews) | Estimate based on the acquisition date of each conserved accession as reported in 2018. | Estimated data
1747,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2018,Número,34036,Global | FAO-WIEWS (http://www.fao.org/wiews) | Country data
1748,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2019,Número,30169,Global | FAO-WIEWS (http://www.fao.org/wiews) | Country data
1749,Indicadores ODS,CHL,Chile,Valor,2.5.1.a Plant genetic resources accessions stored ex situ (number),2020,Número,30169,Global | FAO-WIEWS (http://www.fao.org/wiews) | Estimate based on 2018 report. | Estimated data
1750,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2008,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 44 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1751,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2009,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 44 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1752,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2010,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 51 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1753,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2011,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 51 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1754,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2012,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 52 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1755,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2013,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 55 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1756,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2014,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 55 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1757,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2015,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1758,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2016,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1759,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2017,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1760,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2018,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1761,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2019,Número,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Data nature not available"
1762,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2020,Número,0,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Country data"
1763,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2021,Número,0,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Estimated data"
1764,Indicadores ODS,CHL,Chile,Valor,2.5.1.b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2022,Número,0,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 59 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted | Estimated data"
1765,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2008,%,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 43 local breeds, 100% are of unknown status | Data nature not available"
1766,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2009,%,,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 43 local breeds, 100% are of unknown status | Data nature not available"
1767,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2010,%,14,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 50 local breeds, 86% are of unknown status | Country data"
1768,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2011,%,14,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 50 local breeds, 86% are of unknown status | Estimated data"
1769,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2012,%,12,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 51 local breeds, 84% are of unknown status | Country data"
1770,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2013,%,0,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 54 local breeds, 79% are of unknown status | Country data"
1771,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2014,%,0,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 54 local breeds, 79% are of unknown status | Estimated data"
1772,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2015,%,26,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Country data"
1773,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2016,%,26,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Estimated data"
1774,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2017,%,20,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Country data"
1775,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2018,%,20,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Estimated data"
1776,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2019,%,20,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Estimated data"
1777,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2020,%,20,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Estimated data"
1778,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2021,%,20,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 74% are of unknown status | Estimated data"
1779,Indicadores ODS,CHL,Chile,Valor,2.5.2 Proportion of local breeds classified as being at risk of extinction (%),2022,%,21,"National | DAD-IS 1.2.2022 http://www.fao.org/dad-is/ | Out of 58 local breeds, 75% are of unknown status | Estimated data"
1780,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2008,%,1.81,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1781,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2009,%,1.76,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1782,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2010,%,1.59,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1783,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2011,%,1.57,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1784,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2012,%,1.54,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1785,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2013,%,1.55,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1786,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2014,%,1.54,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1787,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2015,%,1.53,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1788,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2016,%,1.57,National | FAO Questionnaire. | Consolidated Central Government Expenditure Excluding Social Security Funds | Country data
1789,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2017,%,1.5,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1790,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2018,%,1.38,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1791,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2019,%,1.36,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1792,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture share of Government Expenditure (%),2020,%,1.18,National | FAO Questionnaire. | Consolidated General Government Expenditure | Country data
1793,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2008,%,3.71073,National | FAO calculation based on UNSD national account estimates | Country data
1794,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2009,%,3.74118,National | FAO calculation based on UNSD national account estimates | Country data
1795,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2010,%,3.61588,National | FAO calculation based on UNSD national account estimates | Country data
1796,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2011,%,3.67121,National | FAO calculation based on UNSD national account estimates | Country data
1797,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2012,%,3.30479,National | FAO calculation based on UNSD national account estimates | Country data
1798,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2013,%,3.38187,National | FAO calculation based on UNSD national account estimates | Country data
1799,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2014,%,3.73175,National | FAO calculation based on UNSD national account estimates | Country data
1800,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2015,%,3.63888,National | FAO calculation based on UNSD national account estimates | Country data
1801,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2016,%,3.99187,National | FAO calculation based on UNSD national account estimates | Country data
1802,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2017,%,3.98016,National | FAO calculation based on UNSD national account estimates | Country data
1803,Indicadores ODS,CHL,Chile,Valor,2.a.1 Agriculture value added share of GDP (%),2018,%,3.5256,National | FAO calculation based on UNSD national account estimates | Country data
